cpc_class,count
https://search.patentsview.org/api/v1/cpc_class/A61/,173
https://search.patentsview.org/api/v1/cpc_class/G06/,85
https://search.patentsview.org/api/v1/cpc_class/Y10/,83
https://search.patentsview.org/api/v1/cpc_class/H01/,72
https://search.patentsview.org/api/v1/cpc_class/G01/,66
https://search.patentsview.org/api/v1/cpc_class/B60/,62
https://search.patentsview.org/api/v1/cpc_class/C02/,60
https://search.patentsview.org/api/v1/cpc_class/B29/,59
https://search.patentsview.org/api/v1/cpc_class/E05/,54
https://search.patentsview.org/api/v1/cpc_class/A63/,43
https://search.patentsview.org/api/v1/cpc_class/H04/,40
https://search.patentsview.org/api/v1/cpc_class/G02/,34
https://search.patentsview.org/api/v1/cpc_class/F17/,29
https://search.patentsview.org/api/v1/cpc_class/C22/,29
https://search.patentsview.org/api/v1/cpc_class/B65/,28
https://search.patentsview.org/api/v1/cpc_class/F16/,26
https://search.patentsview.org/api/v1/cpc_class/Y02/,25
https://search.patentsview.org/api/v1/cpc_class/G08/,25
https://search.patentsview.org/api/v1/cpc_class/B01/,24
https://search.patentsview.org/api/v1/cpc_class/F02/,18
https://search.patentsview.org/api/v1/cpc_class/H05/,18
https://search.patentsview.org/api/v1/cpc_class/A47/,18
https://search.patentsview.org/api/v1/cpc_class/F25/,18
https://search.patentsview.org/api/v1/cpc_class/C08/,17
https://search.patentsview.org/api/v1/cpc_class/C23/,15
https://search.patentsview.org/api/v1/cpc_class/B62/,15
https://search.patentsview.org/api/v1/cpc_class/H02/,14
https://search.patentsview.org/api/v1/cpc_class/B23/,13
https://search.patentsview.org/api/v1/cpc_class/C21/,12
https://search.patentsview.org/api/v1/cpc_class/C09/,12
https://search.patentsview.org/api/v1/cpc_class/B32/,12
https://search.patentsview.org/api/v1/cpc_class/C01/,11
https://search.patentsview.org/api/v1/cpc_class/C03/,10
https://search.patentsview.org/api/v1/cpc_class/G11/,10
https://search.patentsview.org/api/v1/cpc_class/A45/,10
https://search.patentsview.org/api/v1/cpc_class/F01/,9
https://search.patentsview.org/api/v1/cpc_class/D04/,9
https://search.patentsview.org/api/v1/cpc_class/G03/,8
https://search.patentsview.org/api/v1/cpc_class/A01/,8
https://search.patentsview.org/api/v1/cpc_class/F04/,8
https://search.patentsview.org/api/v1/cpc_class/A46/,8
https://search.patentsview.org/api/v1/cpc_class/A41/,7
https://search.patentsview.org/api/v1/cpc_class/G04/,7
https://search.patentsview.org/api/v1/cpc_class/B31/,7
https://search.patentsview.org/api/v1/cpc_class/C07/,6
https://search.patentsview.org/api/v1/cpc_class/F05/,6
https://search.patentsview.org/api/v1/cpc_class/A43/,6
https://search.patentsview.org/api/v1/cpc_class/H10/,6
https://search.patentsview.org/api/v1/cpc_class/G05/,5
https://search.patentsview.org/api/v1/cpc_class/A23/,5
https://search.patentsview.org/api/v1/cpc_class/F21/,5
https://search.patentsview.org/api/v1/cpc_class/G07/,5
https://search.patentsview.org/api/v1/cpc_class/F24/,5
https://search.patentsview.org/api/v1/cpc_class/D21/,5
https://search.patentsview.org/api/v1/cpc_class/B64/,4
https://search.patentsview.org/api/v1/cpc_class/A62/,4
https://search.patentsview.org/api/v1/cpc_class/C12/,4
https://search.patentsview.org/api/v1/cpc_class/B05/,3
https://search.patentsview.org/api/v1/cpc_class/B24/,3
https://search.patentsview.org/api/v1/cpc_class/F15/,3
https://search.patentsview.org/api/v1/cpc_class/C11/,3
https://search.patentsview.org/api/v1/cpc_class/F03/,3
https://search.patentsview.org/api/v1/cpc_class/E04/,2
https://search.patentsview.org/api/v1/cpc_class/C25/,2
https://search.patentsview.org/api/v1/cpc_class/B63/,2
https://search.patentsview.org/api/v1/cpc_class/H03/,2
https://search.patentsview.org/api/v1/cpc_class/B22/,2
https://search.patentsview.org/api/v1/cpc_class/B26/,2
https://search.patentsview.org/api/v1/cpc_class/F41/,2
https://search.patentsview.org/api/v1/cpc_class/F28/,2
https://search.patentsview.org/api/v1/cpc_class/G10/,2
https://search.patentsview.org/api/v1/cpc_class/D06/,2
https://search.patentsview.org/api/v1/cpc_class/B81/,2
https://search.patentsview.org/api/v1/cpc_class/B82/,2
https://search.patentsview.org/api/v1/cpc_class/E21/,1
https://search.patentsview.org/api/v1/cpc_class/C04/,1
https://search.patentsview.org/api/v1/cpc_class/A42/,1
https://search.patentsview.org/api/v1/cpc_class/G09/,1
https://search.patentsview.org/api/v1/cpc_class/E06/,1
https://search.patentsview.org/api/v1/cpc_class/D10/,1
https://search.patentsview.org/api/v1/cpc_class/F23/,1
https://search.patentsview.org/api/v1/cpc_class/B41/,1
https://search.patentsview.org/api/v1/cpc_class/B07/,1
