patent_id,plus,minus,princple_used
US4966257,10,5,15
US5485307,35,12,1
US5485359,18,19,25
US5493580,23,22,"1,35,31"
US5543179,30,14,"16,10,1"
US5568961,14,1,"1,15"
US5569009,27,36,1
US5680467,28,13,"32,25,13"
US5694827,15,9,"3,35,05"
GB2312704,1,30,22
GB2315973,23,17,31
GB2315980,12,8,"2,35"
GB2315994,26,7,25
GB2316044,10,33,"1,15"
GB2350145,33,35,"15,1"
GB2350268,24,27,10
WO01/13760,7,5,"17,4"
WO01/70445,28,3,"5,26"
US5746360,7,31,"2,30"
US5992588,10,3,17
US6099658,9,31,24
US6299550,3,9,13
US6272687,14,33,"3,15,40"
GB2307485,15,10,"4,18"
US6296160,31,36,"8,5"
US5493551,33,36,17
US6293565,9,31,"17,14,3"
GB2309876,36,30,2
US5999869,31,15,23
US5651055,33,24,"10,28"
US5650990,10,13,15
US5650983,2,24,5
US5543179,37,18,"32,23"
US6220333,24,27,"17,28,13"
GB2303376,13,26,"35,24"
US6176374,11,14,"9,3"
US6065555,19,22,23
US5824184,33,3,3
US6099018,31,12,"1,17"
US6098208,5,1,"14,30"
US5569009,27,36,1
US5569282,31,33,7
US5570342,5,36,1
US5650591,31,17,31
US5667294,33,35,"15,1"
US5680468,16,33,1
US5724415,7,5,17
US5724478,22,6,"1,17"
US6099150,33,15,40
US6179727,35,36,"4,20"
US6053805,26,36,"13,3,5"
US6290196,3,7,"3,7,17"
US6166359,17,22,"1,28"
US6203313,35,14,"1,35"
US5724625,9,11,"6,1"
US6182299,14,33,"2,3,40"
US5900819,30,33,"1,5,35"
US6050219,15,25,"20,23"
US6260276,35,36,"15,6"
US6306040,7,36,"1,15"
EP1928277A,-,-,"40,17"
EP1215182B1,-,-,35
EP2539508A1,-,-,40
US3794966,38,27,23
US4789941,38,27,28
US5392034,38,27,28
US5446291,38,27,28
US5619616,37,35,13
US5717390,27,33,28
US6014447,39,27,3
US20020140924,27,32,28
US6828920,32,27,28
US6865518,28,36,35
US6894233,37,32,28
US20050267657,32,27,28
US8311343,28,35,2
US20150269444,28,36,1
US9239955,24,5,17
US9361798,28,32,35
US9466000,38,33,17
US9519060,27,38,17
US9683836,32,28,35
US9977972,37,27,17
US9984704,38,34,28
US10345449,32,27,28
GB2366423,38,36,-
6073286,38,36,-
AU720231,38,36,-
US5647173,38,36,-
US5687451,38,36,-
US5878529,38,36,-
US6090087,38,36,-
US6099428,38,36,-
US6108975,38,36,-
US6543691,35,4,1
US5040501,15,14,3
US3556918,32,13,13
US5832187,6,26,2
US4226356,36,33,"9,24"
US4681412,35,18,"1,6,22"
US3084213,36,38,24
US3084213,24,4,26
US4588395,27,31,"1,35"
US3933311,36,26,"3,10"
US6898484,38,28,"10,28"
US3842432,31,37,"1,2"
US4127693,12,27,40
US4273345,33,27,17
US5462001,33,36,17
US3148535,36,37,"10,15"
US3050824,32,18,24
