patent_id,plus,minus
US3794966,43,35
US4789941,43,35
US5392034,43,35
US5446291,43,35
US5619616,49,32
US5717390,35,34
US6014447,44,35
US20020140924,35,41
US6828920,41,35
US6865518,50,45
US6894233,49,41
US20050267657,41,35
US8311343,50,32
US20150269444,50,45
US9239955,28,5
US9361798,50,41
US9466000,43,46
US9519060,35,43
US9683836,41,50
US9977972,59,35
US9984704,43,36
US10345449,41,35
US6680961,25,31
US6686564,31,15
US6685962,12,5
US6685962,12,15
US6677073,6,41
US6616091,15,35
US6669134,41,15
US6664520,22,13
US6700055,17,3
US6666666,7,5
US6682757,24,34
US6626874,31,48
US6654340,47,44
US6674744,14,31
US6663994,24,6
US6593017,2,6
US6587770,48,40
US6701944,7,5
US6703005,44,22
US6661345,38,32
US6706773,25,41
US6708115,48,45
US6708080,25,47
US6706077,13,41
US6695476,34,10
US6695341,38,5
US6683126,25,45
US6683126,25,21
US6662574,13,22
US6661967,25,22
US6699013,24,32
US6732497,14,33
US6732497,14,29
US6677258,25,31
US6657021,10,19
US6729842,31,36
US6729136,30,16
US6730379,32,25
US6731772,19,32
US6741816,42,40
US6741816,42,22
US6723148,41,24
US6741767,9,18
US6716485,38,2
US6716485,38,41
US6715716,32,8
US6718752,29,27
US6712346,15,7
US6736419,21,15
US6675734,21,1
US6726213,25,32
US6700384,38,47
US6703748,41,4
US6727018,17,38
US6735818,41,20
US6740281,41,9
US6740752,12,21
US6730879,18,13
US6730913,23,4
US6725493,24,5
US6725490,24,45
US6727211,39,14
US6727403,13,4
US6726947,32,41
US6726761,23,22
US6726052,21,10
US6727618,15,21
US6728289,41,9
US6727517,4,41
US6733766,32,21
US6733452,29,32
US6735985,11,6
US6718972,10,19
US6729351,48,10
US6652524,32,15
US6706043,13,31
US6736820,4,3
US6744848,47,9
US6744976,22,8
US6743841,22,10
US6743932,21,41
US6744371,47,6
US6744038,47,8
US6743936,21,20
US6745201,47,11
US6744209,18,29
US6742351,12,24
US6674774,29,17
US6675030,48,32
US6732716,30,12
US6684781,42,32
US6728594,42,40
US6684917,48,10
US6699434,45,10
US6673994,20,2
US6719293,21,22
US6734404,22,31
US6720362,29,20
US6734512,15,42
US6739132,3,41
US6734000,41,10
US6740094,10,9
US6732808,12,45
US6740250,38,30
US6741314,6,4
US6162962,20,2
US4966257,10,5
US5485307,35,12
US5485359,18,19
US5493580,23,22
US5543179,30,14
US5568961,14,1
US5569009,27,36
US5680467,28,13
US5694827,15,9
GB2312704,1,30
GB2315973,23,17
GB2315980,12,8
GB2315994,26,7
GB2316044,10,33
GB2350145,33,35
GB2350268,24,27
WO01/13760,7,5
WO01/70445,28,3
US5746360,7,31
US5992588,10,3
US6099658,9,31
US6299550,3,9
US6272687,14,33
GB2307485,15,10
US6296160,31,36
US5493551,33,36
US6293565,9,31
GB2309876,36,30
US5999869,31,15
US5651055,33,24
US5650990,10,13
US5650983,2,24
US5543179,37,18
US6220333,24,27
GB2303376,13,26
US6176374,11,14
US6065555,19,22
US5824184,33,3
US6099018,31,12
US6098208,5,1
US5569009,27,36
US5569282,31,33
US5570342,5,36
US5650591,31,17
US5667294,33,35
US5680468,16,33
US5724415,7,5
US5724478,22,6
US6099150,33,15
US6179727,35,36
US6053805,26,36
US6290196,3,7
US6166359,17,22
US6203313,35,14
US5724625,9,11
US6182299,14,33
US5900819,30,33
US6050219,15,25
US6260276,35,36
US6306040,7,36
US3794966,38,27
US4789941,38,27
US5392034,38,27
US5446291,38,27
US5619616,37,35
US5717390,27,33
US6014447,39,27
US20020140924,27,32
US6828920,32,27
US6865518,28,36
US6894233,37,32
US20050267657,32,27
US8311343,28,35
US20150269444,28,36
US9239955,24,5
US9361798,28,32
US9466000,38,33
US9519060,27,38
US9683836,32,28
US9977972,37,27
US9984704,38,34
US10345449,32,27
GB2366423,38,36
6073286,38,36
AU720231,38,36
US5647173,38,36
US5687451,38,36
US5878529,38,36
US6090087,38,36
US6099428,38,36
US6108975,38,36
US6543691,35,4
US5040501,15,14
US3556918,32,13
US5832187,6,26
US4226356,36,33
US4681412,35,18
US3084213,36,38
US3084213,24,4
US4588395,27,31
US3933311,36,26
US6898484,38,28
US3842432,31,37
US4127693,12,27
US4273345,33,27
US5462001,33,36
US3148535,36,37
US3050824,32,18
